日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-25,-597.2605,-597.2605,38.7169,1095.3562,-1134.0731,3173.1594,3173.1594,-826.8869,-771.3343,1598.2213000000002
2025-07-24,-3770.4199,-3770.4199,865.6038,1866.6905,-2732.2944,-6150.8261999999995,-6150.8261999999995,1887.3147,3543.7052999999996,-5431.020200000001
2025-07-23,2380.4063,2380.4063,-1021.7109,-1677.0148,2698.7258,14.382000000000062,14.382000000000062,-80.39210000000003,-1924.2238,2004.6160000000002
2025-07-22,2366.0243,2366.0243,-941.3188,247.209,694.1098,3539.4383,3539.4383,-33.51890000000003,-1269.3767,1302.8953999999999
2025-07-21,-1173.414,-1173.414,-907.7999,1516.5857,-608.7856,,,,,
