日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-10,213.9525,213.9525,-1199.9606,1539.2407,-339.28,599.0676,599.0676,-1490.9309,1937.6114,-446.68039999999996
2025-07-09,-385.1151,-385.1151,290.9703,-398.3707,107.4004,-502.166,-502.166,505.6857,-10.513599999999997,-495.1722
2025-07-08,117.0509,117.0509,-214.7154,-387.8571,602.5726,-242.34819999999996,-242.34819999999996,404.02209999999997,-1045.6661,641.6441
2025-07-07,359.3991,359.3991,-618.7375,657.809,-39.0715,408.11429999999996,408.11429999999996,-256.52779999999996,263.9471,-7.4193
2025-07-04,-48.7152,-48.7152,-362.2097,393.8619,-31.6522,,,,,
