日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-16,3.821,3.821,-2865.1127,-562.3173,3427.43,-6280.4036,-6280.4036,446.9614999999999,2063.3365999999996,-2510.2981000000004
2025-07-15,6284.2246,6284.2246,-3312.0742,-2625.6539,5937.7281,9348.6278,9348.6278,-6012.2088,-2965.6785999999997,8977.8874
2025-07-14,-3064.4032,-3064.4032,2700.1346,340.0247,-3040.1593,-2239.6401,-2239.6401,2460.1594,275.36789999999996,-2735.5274
2025-07-11,-824.7631,-824.7631,239.9752,64.6568,-304.6319,-2836.7418,-2836.7418,1834.2487,-755.8634000000001,-1078.3851
2025-07-10,2011.9787,2011.9787,-1594.2735,820.5202,773.7532,,,,,
