日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-25,-677.2863,-677.2863,5316.5376,-206.6023,-5109.9352,780.7216000000001,780.7216000000001,7261.4737,2806.1471,-10067.620200000001
2025-07-24,-1458.0079,-1458.0079,-1944.9361,-3012.7494,4957.685,2679.9661,2679.9661,2245.5695000000005,-13545.175000000001,11299.6063
2025-07-23,-4137.974,-4137.974,-4190.5056,10532.4256,-6341.9213,-5509.451300000001,-5509.451300000001,1774.8624,6875.489600000001,-8650.3538
2025-07-22,1371.4773,1371.4773,-5965.368,3656.936,2308.4325,4242.964599999999,4242.964599999999,-3815.1584000000003,-4673.235200000001,8488.3934
2025-07-21,-2871.4873,-2871.4873,-2150.2096,8330.1712,-6179.9609,,,,,
