日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-14,463.9508,463.9508,-823.3008,1254.216,-430.9153,1093.381,1093.381,-2775.2335000000003,2108.1566,667.0767999999999
2025-07-11,-629.4302,-629.4302,1951.9327,-853.9406,-1097.9921,-2248.5548,-2248.5548,1314.0844000000002,6514.2965,-7828.3811000000005
2025-07-10,1619.1246,1619.1246,637.8483,-7368.2371,6730.389,4222.2881,4222.2881,892.5174,-12846.376100000001,11953.8589
2025-07-09,-2603.1635,-2603.1635,-254.6691,5478.139,-5223.4699,1399.0890999999997,1399.0890999999997,-2071.8307,1755.0542,316.77660000000014
2025-07-08,-4002.2526,-4002.2526,1817.1616,3723.0848,-5540.2465,,,,,
