日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-18,1314.0251,1314.0251,-1389.7678,298.9415,1090.8262,3890.0762000000004,3890.0762000000004,261.2196999999999,-7330.2304,7069.0106
2025-07-17,-2576.0511,-2576.0511,-1650.9875,7629.1719,-5978.1844,-1105.0693,-1105.0693,-3533.1486,9106.6008,-5573.452
2025-07-16,-1470.9818,-1470.9818,1882.1611,-1477.4289,-404.7324,-1866.8246,-1866.8246,279.7609,4443.906300000001,-4723.6673
2025-07-15,395.8428,395.8428,1602.4002,-5921.3352,4318.9349,563.6382,563.6382,-98.16930000000002,-5012.586700000001,5110.756
2025-07-14,-167.7954,-167.7954,1700.5695,-908.7485,-791.8211,,,,,
