日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-09,-229.0002,-229.0002,14.3777,-1027.7486,1013.3708,-665.7572,-665.7572,-411.7276,-379.7350999999999,791.4626000000001
2025-07-08,436.757,436.757,426.1053,-648.0135,221.9082,-257.7787,-257.7787,725.0283999999999,373.41769999999997,-1098.4461
2025-07-07,694.5357,694.5357,-298.9231,-1021.4312,1320.3543,1822.7992,1822.7992,-944.5889999999999,-1595.559,2540.1479
2025-07-04,-1128.2635,-1128.2635,645.6659,574.1278,-1219.7936,643.0908999999999,643.0908999999999,215.14559999999994,-1436.9083,1221.7629000000002
2025-07-03,-1771.3544,-1771.3544,430.5203,2011.0361,-2441.5565,,,,,
