日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-10,509.9746,509.9746,196.04,-739.1333,543.0933,785.3779999999999,785.3779999999999,110.7016,-761.1384999999999,650.4369
2025-07-09,-275.4034,-275.4034,85.3384,22.0052,-107.3436,-551.5790999999999,-551.5790999999999,266.1035,756.194,-1022.2974
2025-07-08,276.1757,276.1757,-180.7651,-734.1888,914.9538,-747.5714,-747.5714,-423.4215,1274.5466000000001,-851.1251
2025-07-07,1023.7471,1023.7471,242.6564,-2008.7354,1766.0789,1054.5653,1054.5653,-394.9484,-1092.1613,1487.1095
2025-07-04,-30.8182,-30.8182,637.6048,-916.5741,278.9694,,,,,
