日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-10,768.8774,768.8774,-3867.8782,1400.1623,2467.716,498.7329,498.7329,-3238.3377,-1982.2753000000002,5220.6131000000005
2025-07-09,270.1445,270.1445,-629.5405,3382.4376,-2752.8971,-2055.3259000000003,-2055.3259000000003,78.2645,3836.6922000000004,-3914.9566000000004
2025-07-08,2325.4704,2325.4704,-707.805,-454.2546,1162.0595,3633.1486000000004,3633.1486000000004,-523.7225999999999,-1544.6374,2068.3598
2025-07-07,-1307.6782,-1307.6782,-184.0824,1090.3828,-906.3003,615.1065999999998,615.1065999999998,82.65839999999997,-3655.8269,3573.1684000000005
2025-07-04,-1922.7848,-1922.7848,-266.7408,4746.2097,-4479.4687,,,,,
