日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-10,-1230.7017,-1230.7017,-1007.824,5377.4519,-4369.6272,8264.4378,8264.4378,-2477.5776,-5847.6857,8325.265899999999
2025-07-09,-9495.1395,-9495.1395,1469.7536,11225.1376,-12694.8931,-10652.507599999999,-10652.507599999999,2232.8729,10302.6335,-12535.508399999999
2025-07-08,1157.3681,1157.3681,-763.1193,922.5041,-159.3847,4546.6248,4546.6248,-646.4527999999999,-4847.2326,5493.685600000001
2025-07-07,-3389.2567,-3389.2567,-116.6665,5769.7367,-5653.0703,-703.0819000000001,-703.0819000000001,2328.0107000000003,-2881.303499999999,553.2927999999993
2025-07-04,-2686.1748,-2686.1748,-2444.6772,8651.0402,-6206.3631,,,,,
