日期,超大单(万元),大单(万元),中单(万元),小单(万元),主力(万元),超大单日增量(万元),大单日增量(万元),中单日增量(万元),小单日增量(万元),主力日增量(万元)
2025-07-14,-864.3247,-864.3247,1887.0212,-185.5832,-1701.4379,-604.8216,-604.8216,1451.9207999999999,-236.11270000000002,-1215.808
2025-07-11,-259.5031,-259.5031,435.1004,50.5295,-485.6299,433.43589999999995,433.43589999999995,-69.46640000000002,-121.82350000000001,191.28999999999996
2025-07-10,-692.939,-692.939,504.5668,172.353,-676.9199,-556.4873,-556.4873,-591.9954,511.3861,80.60919999999999
2025-07-09,-136.4517,-136.4517,1096.5622,-339.0331,-757.5291,94.7081,94.7081,246.73610000000008,366.6213,-613.3575
2025-07-08,-231.1598,-231.1598,849.8261,-705.6544,-144.1716,,,,,
